===================== processing the file nott_2.txt =======================
** [[dS sm16469518 sm116816367]
    [Ins os1000023066586 os1000023066623]
    [S os1000023066586 os1000023066623]
    [dN os1000023066586 os1000023066986]
    [N os1000023066586 os1000023066986]
    [Ins os1000023066586 os1000023066589]
    [S os1000023066586 os1000023066589]
    [Ins os1000023066586 os1000023066622]
    [S os1000023066586 os1000023066622]
    [Ins os1000023066586 os1000023066621]
    [S os1000023066586 os1000023066621]
    [dS os1000023066586 os1000023066588]
    [S os1000023066586 os1000023066588]
    [dS os1000023066586 os1000023066620]
    [S os1000023066586 os1000023066620]
    [Ins os1000023066586 os1000023066587]
    [S os1000023066586 os1000023066587]
    [dN os1000002080300709 os1000023066595]
    [N os1000002080300709 os1000023066595]
    [dN os1000002080300709 os1000023066593]
    [N os1000002080300709 os1000023066593]
    [Ins os1000002080300709 os1000023067000]
    [nNS os1000002080300709 os1000023067000]
    [dN os1000002080300709 os1000023066591]
    [N os1000002080300709 os1000023066591]
    [dN os1000002080300709 os1000023066629]
    [N os1000002080300709 os1000023066629]
    [dN os1000002080300709 os1000023066628]
    [N os1000002080300709 os1000023066628]
    [dN os1000002080300709 os1000023066627]
    [N os1000002080300709 os1000023066627]
    [dN os1000002080300709 os1000023066626]
    [N os1000002080300709 os1000023066626]
    [dN os1000002080300709 os1000023066625]
    [N os1000002080300709 os1000023066625]
    [dN os1000002080300709 os1000023066624]
    [N os1000002080300709 os1000023066624]
    [dN os1000002080300709 os1000023066623]
    [N os1000002080300709 os1000023066623]
    [dN os1000002080300709 os1000023066986]
    [N os1000002080300709 os1000023066986]
    [dN os1000002080300709 os1000023066589]
    [N os1000002080300709 os1000023066589]
    [dN os1000002080300709 os1000023066622]
    [N os1000002080300709 os1000023066622]
    [dN os1000002080300709 os1000023066621]
    [N os1000002080300709 os1000023066621]
    [dN os1000002080300709 os1000023066588]
    [N os1000002080300709 os1000023066588]
    [dN os1000002080300709 os1000023066620]
    [N os1000002080300709 os1000023066620]
    [dN os1000002080300709 os1000023066587]
    [N os1000002080300709 os1000023066587]
    [dN os1000002080300709 os1000023066586]
    [N os1000002080300709 os1000023066586]
    [dS os1000023066584 os1000023066595]
    [S os1000023066584 os1000023066595]
    [dS os1000023066584 os1000023066593]
    [S os1000023066584 os1000023066593]
    [dS os1000023066584 os1000023067000]
    [S os1000023066584 os1000023067000]
    [dS os1000023066584 os1000023066591]
    [S os1000023066584 os1000023066591]
    [dS os1000023066584 os1000023066629]
    [S os1000023066584 os1000023066629]
